ts_unix,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s,label
1773178836.4905512,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0
1773178837.490773,202195.16741140065,446365.0278044085,10.99756151861851,27.993792956483475,35.5,1806.5994240130585,4840.926624831893,9.997783198744099,10.99756151861851,0
1773178838.4904141,259164.99357302842,667887.6514214013,8.002871590076223,50.017947437976396,35.5,428.15363006907796,1144.4106373809,5.00179474379764,9.003230538835751,0
1773178839.4904015,16384.207033866118,331780.1924357889,1.0000126363443675,34.0004296357085,35.5,601.0075944429649,340.00429635708497,3.000037909033103,2.000025272688735,0
1773178840.4906106,0.0,85998.01840826415,0.0,1.9995819012338205,35.5,2553.4660878755885,6022.7406865162675,14.996864259253654,16.996446160487473,0
1773178841.4905272,2048.170912699567,219154.28765885366,4.000333813866342,22.001835976264882,35.5,342.0285410855722,450.03755405996344,5.000417267332927,6.000500720799513,0
1773178842.4905722,16383.261752016275,172024.24839617088,0.9999549409189621,18.99914387746028,35.5,0.0,0.0,0.0,0.0,0
1773178843.4905415,163845.03921748616,0.0,6.000184541655988,0.0,35.5,109.00335250675043,66.00202995821586,2.000061513885329,1.0000307569426645,0
1773178844.490843,0.0,286633.5514634606,0.0,19.99396982864541,35.5,59.981909485936235,59.981909485936235,0.9996984914322705,0.9996984914322705,0
1773178845.4904008,16391.249299872223,266357.8011229236,1.0004424621504042,21.00929170515849,35.5,0.0,134.05928992815416,0.0,1.0004424621504042,0
1773178846.4906344,192467.03003849083,376743.97369236505,2.999299213116442,29.99299213116442,35.5,41.99018898363019,359.9159055739731,0.9997664043721474,4.998832021860737,0
1773178847.4904714,32773.344621591845,40966.68077698981,1.0001631049069777,3.0004893147209333,35.5,0.0,148.02413952623272,0.0,2.0003262098139554,0
1773178848.490942,0.0,204703.6586231894,0.0,9.99529583121042,35.5,0.0,0.0,0.0,0.0,0
1773178849.4904742,0.0,323735.436072725,0.0,8.003743969361278,35.5,0.0,148.06926343318364,0.0,2.0009359923403194,0
1773178850.49079,0.0,303008.35050581227,0.0,5.998106600489844,35.5,54.98264383782357,65.97917260538827,0.9996844334149739,0.9996844334149739,0
1773178851.4908044,16383.7617222154,102398.51076384625,0.9999854566781861,3.9999418267127442,35.5,86.99873473100219,0.0,0.9999854566781861,0.0,0
1773178852.4908514,65532.922019568,274419.11095694103,0.9999530337458497,13.999342472441894,35.5,54.99741685602173,65.99690022722608,0.9999530337458497,0.9999530337458497,0
1773178853.490598,0.0,225337.10920025822,0.0,3.000760509591507,35.5,999.2532496939718,426.107992361994,8.002028025577351,4.0010140127886755,0
1773178854.4906313,98300.71885951988,196601.43771903976,1.9999332450260392,7.999732980104157,35.5,17604.41238934171,5944.801570839902,7.999732980104157,13.999532715182275,0
1773178855.4904797,0.0,0.0,0.0,0.0,35.5,1873.2840539594456,285.0432223056284,7.001061600489118,3.0004549716381934,0
1773178856.4906366,0.0,8190.71504533295,0.0,1.9996862903644896,35.5,21423.63907181996,17283.288607620285,18.997019758462653,33.994666936196325,0
1773178857.4908257,143332.90063137992,286665.80126275984,4.999054849029712,16.996786486701023,35.5,192.96351717254691,265.9497179683807,2.9994329094178274,3.99924387922377,0
1773178858.4904501,48114323.37406591,0.0,744.2794838397616,0.0,35.5,0.0,0.0,0.0,0.0,0
1773178859.4904318,135170.4814908683,303109.5645552804,3.000055075702865,8.000146868540973,35.5,0.0,134.0024600480613,0.0,1.0000183585676217,0
1773178860.4908884,16376.52294506078,45035.43809891715,0.9995436367834949,3.9981745471339796,35.5,109.94980004618444,65.96988002771066,1.9990872735669898,0.9995436367834949,0
1773178861.4908285,0.0,16384.980527427764,0.0,4.000239386579044,35.5,0.0,148.00885730342463,0.0,2.000119693289522,0
1773178862.4909198,0.0,32765.008085704605,0.0,0.999908694021747,35.5,0.0,0.0,0.0,0.0,0
1773178863.4904666,16391.429148390554,8195.714574195277,1.000453439232822,2.000906878465644,35.5,2.000906878465644,0.0,2.000906878465644,0.0,0
1773178864.4907458,0.0,16379.427057961257,0.0,3.9988835590725724,35.5,429.8799826003015,0.0,7.997767118145145,0.0,0
1773178865.4908154,131062.87563522208,307178.61477005173,1.9998607732425244,7.999443092970098,35.5,481.9664463514484,0.0,6.999512706348836,0.0,0
1773178866.4909005,0.0,0.0,0.0,0.0,35.5,429.96340347885086,0.0,7.999319134490248,0.0,0
1773178867.4904032,0.0,8196.076246034916,0.0,2.000995177254618,35.5,428.21296793248825,0.0,6.002985531763854,0.0,0
1773178868.490635,32760.40800938961,12285.153003521104,0.9997683108334231,2.9993049325002694,35.5,0.0,1570.6360163193078,0.0,3.9990732433336924,0
1773178869.490548,131083.40724268998,24578.13885800437,6.0005221821299735,4.000348121419982,35.5,0.0,0.0,0.0,0.0,0
1773178870.4906442,0.0,40956.055067480265,0.0,6.999325817196334,35.5,56.99451022574158,65.99364341927972,2.9997110645127147,0.9999036881709049,0
1773178871.490686,131066.53147816451,167928.99345639828,1.9999165569788286,5.9997496709364855,35.5,0.0,0.0,0.0,0.0,0
1773178872.4907138,65534.17192599407,311287.31664847187,0.9999721058043529,27.999218962521883,35.5,0.0,0.0,0.0,0.0,0
1773178873.490733,30719.414073675656,51199.023456126095,7.999847415019703,5.999885561264777,35.5,390.99254240908795,389.9925614822105,5.999885561264777,4.999904634387314,0
1773178874.4904509,413300.57108678715,1339769.8809950869,18.005078317558688,221.06235045447056,35.5,1.0002821287532604,0.0,1.0002821287532604,0.0,0
1773178875.4904141,65538.40633835223,155653.71505358655,1.0000367178093297,5.000183589046649,35.5,1495.0548931249477,0.0,2.0000734356186594,0.0,0
1773178876.490645,0.0,94186.26282920393,0.0,4.9988463203339375,35.5,0.9997692640667876,0.0,0.9997692640667876,0.0,0
1773178877.4907825,0.0,0.0,0.0,0.0,35.5,42.99408541028935,447.9383782281309,1.999724902804156,5.999174708412467,0
1773178878.4904337,65558.86735127805,196676.60205383415,1.0003489280895699,8.002791424716559,35.5,2.0006978561791398,148.05164135725633,2.0006978561791398,2.0006978561791398,0
1773178879.490991,16374.87227550027,94155.51558412655,0.999442887908952,8.994985991180569,35.5,0.999442887908952,0.0,0.999442887908952,0.0,0
