ts_iso_utc,ts_unix,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s,label
2026-03-05T09:31:32+00:00,1772703092.3818429,0.0,0.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:33+00:00,1772703093.3816113,4480525.261492946,4195275.224842864,107.02477671103154,5.001157790235118,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:34+00:00,1772703094.381736,1291614.9447650642,4238831.4477426605,30.99613500151496,6.999127258406604,34.8,249.96883065737873,218.97269565586376,2.9996259678885444,0.9998753226295148,0
2026-03-05T09:31:35+00:00,1772703095.3816485,155661.6203323989,4194671.03211517,4.000350029101534,5.000437536376918,34.8,3236.283173543141,4927.431148345814,4.000350029101534,6.000525043652301,0
2026-03-05T09:31:36+00:00,1772703096.381772,368594.47827822017,4095.494203091335,18.997653774105313,0.9998765144265954,34.8,651.9194874061402,1484.8166239234943,5.999259086559572,8.998888629839358,0
2026-03-05T09:31:37+00:00,1772703097.381633,204828.4707542538,3146165.3107853383,6.000834104128529,4.000556069419019,34.8,228.0316959568841,376.0522705253878,4.000556069419019,4.000556069419019,0
2026-03-05T09:31:38+00:00,1772703098.381952,126935.50705803784,5085609.6698736455,4.998405488361495,245.92155002738556,34.8,54.982460371976444,65.97895244637174,0.9996810976722991,0.9996810976722991,0
2026-03-05T09:31:39+00:00,1772703099.3815992,524473.0653020494,3667214.0112916734,6.00211790430507,14.00494177671183,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:40+00:00,1772703100.3819568,8189.07135986333,0.0,0.9996424999833167,0.0,34.8,54.98033749908242,329.8820249944945,0.9996424999833167,2.99892749994995,0
2026-03-05T09:31:41+00:00,1772703101.3816447,176182.98493368106,3146710.0564899314,4.001248749402277,5.001560936752846,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:42+00:00,1772703102.3819578,0.0,3144743.558173208,0.0,3.9987482174850566,34.8,54.982787990419524,65.97934558850343,0.9996870543712641,0.9996870543712641,0
2026-03-05T09:31:43+00:00,1772703103.3815155,0.0,184401.5546235625,0.0,8.003539697203234,34.8,55.02433541827223,0.0,1.0004424621504042,0.0,0
2026-03-05T09:31:44+00:00,1772703104.3818653,0.0,2100513.3243430112,0.0,2.998951086701348,34.8,109.96153984571608,0.0,1.9993007244675651,0.0,0
2026-03-05T09:31:45+00:00,1772703105.3816035,0.0,2097701.1437568297,0.0,3.0007855564453547,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:46+00:00,1772703106.3817039,258022.10123238116,2096941.521126653,3.999598543408686,1.999799271704343,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:47+00:00,1772703107.3819497,204749.67057457866,65519.89458386517,8.997788257671914,0.9997542508524349,34.8,54.98648379688392,65.9837805562607,0.9997542508524349,0.9997542508524349,0
2026-03-05T09:31:48+00:00,1772703108.3819137,94211.39172366864,2097227.502718189,3.0001080075047333,3.0001080075047333,34.8,4298.154738751781,7014.252521546066,26.00093606504102,26.00093606504102,0
2026-03-05T09:31:49+00:00,1772703109.3816042,28680.875793643034,2200232.9001694727,1.0003095631153403,5.001547815576701,34.8,489.15137636340137,6374.9728457340625,5.001547815576701,9.002786068038061,0
2026-03-05T09:31:50+00:00,1772703110.3816657,65531.96899795497,2097023.0079345591,0.9999384917900844,2.9998154753702533,34.8,541.9666625502257,5441.665272321639,3.9997539671603377,9.999384917900844,0
2026-03-05T09:31:51+00:00,1772703111.3815684,0.0,0.0,0.0,0.0,34.8,665.0646940219787,6295.612404313316,5.000486421217884,9.000875558192192,0
2026-03-05T09:31:52+00:00,1772703112.3821158,65500.14462755564,2096004.6280817804,1.9989057808702282,1.9989057808702282,34.8,324.8221893914121,1603.122436257923,4.997264452175571,3.9978115617404564,0
2026-03-05T09:31:53+00:00,1772703113.381814,0.0,2097785.1911210916,0.0,3.0009057871643425,34.8,4182.262365378038,7467.253900393939,14.004227006766932,19.005736652040834,0
2026-03-05T09:31:54+00:00,1772703114.3817158,90120.85243206072,2232539.2988851406,6.000589428626202,6.000589428626202,34.8,5732.563100814232,569.0558974813848,5.000491190521835,8.000785904834936,0
2026-03-05T09:31:55+00:00,1772703115.3818622,0.0,65526.40765421398,0.0,0.9998536324190366,34.8,100.98521687432269,0.0,0.9998536324190366,0.0,0
2026-03-05T09:31:56+00:00,1772703116.3818767,0.0,2097121.5004435712,0.0,2.999956370034558,34.8,5127.925421845738,10695.844444629878,12.999810936816418,18.999723676885537,0
2026-03-05T09:31:57+00:00,1772703117.3817039,0.0,2257286.179748611,0.0,18.00311190036005,34.8,402.0694991080411,7902.365951374709,7.001210183473353,13.00224748359337,0
2026-03-05T09:31:58+00:00,1772703118.3819,114665.50050856624,131046.28629550428,3.9992152800141687,0.9998038200035422,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:31:59+00:00,1772703119.381757,98318.06451194457,19389141.638959736,4.0005722864560775,232.03319261445253,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:00+00:00,1772703120.38156,577649.7587310581,417874.2935501271,8.00157578029502,39.007681928938226,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:01+00:00,1772703121.3817942,6941094.901963776,200657.0207647345,188.9557603462553,31.992509688254867,34.8,107.97472019786017,107.97472019786017,1.9995318555159292,1.9995318555159292,0
2026-03-05T09:32:02+00:00,1772703122.3821917,388965.4081212668,0.0,5.997616284764599,0.0,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:03+00:00,1772703123.3817847,0.0,61465.015063455896,0.0,14.005700047011434,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:04+00:00,1772703124.381747,0.0,282634.64688544464,0.0,15.000565073318858,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:05+00:00,1772703125.3816347,81929.20025189368,49157.5201511362,5.00056153881187,10.00112307762374,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:06+00:00,1772703126.3816164,0.0,65537.20314708765,0.0,1.0000183585676217,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:07+00:00,1772703127.3819175,16379.067891419681,4094.7669728549204,0.9996989679821583,0.9996989679821583,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:08+00:00,1772703128.3816502,0.0,69650.61532682928,0.0,2.00053467735608,34.8,0.0,142.03796209228167,0.0,1.00026733867804,0
2026-03-05T09:32:09+00:00,1772703129.3817668,466377.62657847477,225253.73841331384,13.99836797667966,13.99836797667966,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:10+00:00,1772703130.3817441,0.0,0.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:11+00:00,1772703131.3817024,4096.170905568236,131077.46897818355,1.000041724992245,26.001084849798374,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:12+00:00,1772703132.381671,0.0,4096.1289103069685,0.0,1.0000314722429122,34.8,108.00339900223453,357.0112355907197,2.0000629444858244,5.000157361214561,0
2026-03-05T09:32:13+00:00,1772703133.381725,327662.2665847505,131064.90663390019,4.99972940955735,0.9999458819114699,34.8,0.0,131.99285641231404,0.0,1.9998917638229399,0
2026-03-05T09:32:14+00:00,1772703134.381609,0.0,163859.02564656493,0.0,5.000580616655424,34.8,110.01277356641933,132.0153282797032,2.0002322466621694,2.0002322466621694,0
2026-03-05T09:32:15+00:00,1772703135.3816168,65535.48437905681,12287.903321073152,0.9999921322487917,2.999976396746375,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:16+00:00,1772703136.3817332,0.0,12286.570478822312,0.0,2.9996509958062285,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:17+00:00,1772703137.3820632,65514.382133275874,303004.0173664009,0.9996701375316753,4.998350687658377,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:18+00:00,1772703138.381591,32271.234242391572,69664.8866184961,6.002833750444861,2.0009445834816204,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:19+00:00,1772703139.3818648,0.0,458626.47185762104,0.0,52.98549762933767,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:20+00:00,1772703140.3818674,32767.91406272538,69631.81738329143,0.9999973774025079,1.9999947548050159,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:21+00:00,1772703141.3818867,0.0,8191.841799930145,0.0,1.9999613769360705,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:22+00:00,1772703142.3818622,24576.603530445966,311303.6447189822,2.0000491154334283,73.00179271332013,34.8,108.00265223340513,225.00552548626067,2.0000491154334283,3.0000736731501423,0
2026-03-05T09:32:23+00:00,1772703143.381791,0.0,16385.164145211045,0.0,3.0002131613545617,34.8,55.00390795816696,0.0,1.0000710537848538,0.0,0
2026-03-05T09:32:24+00:00,1772703144.3816223,0.0,680050.7928145677,0.0,59.00996090229006,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:25+00:00,1772703145.3817215,0.0,12286.781370866232,0.0,1.9998016554144258,34.8,54.99454552389671,65.99345462867605,0.9999008277072129,0.9999008277072129,0
2026-03-05T09:32:26+00:00,1772703146.3821046,0.0,24566.58759063288,0.0,2.9988510242471778,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:27+00:00,1772703147.3818848,254007.8364928356,20484.502942970616,4.000879481048948,3.000659610786711,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:28+00:00,1772703148.3816955,0.0,0.0,0.0,0.0,34.8,55.01041371071012,0.0,1.0001893401947295,0.0,0
2026-03-05T09:32:29+00:00,1772703149.3818636,0.0,12285.934917422108,0.0,2.999495829448757,34.8,109.98151374645441,0.0,1.9996638862991711,0.0,0
2026-03-05T09:32:30+00:00,1772703150.381854,0.0,69632.66406883305,0.0,2.000019073668229,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:31+00:00,1772703151.3817756,0.0,4096.321314266299,0.0,1.0000784458657956,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:32+00:00,1772703152.3820567,0.0,0.0,0.0,0.0,34.8,54.98454409182447,65.98145291018936,0.9997189834877176,0.9997189834877176,0
2026-03-05T09:32:33+00:00,1772703153.3821242,12287.170954375246,16382.89460583366,0.9999325320943396,2.999797596283019,34.8,54.99628926518868,0.0,0.9999325320943396,0.0,0
2026-03-05T09:32:34+00:00,1772703154.3821645,0.0,167929.23367107144,0.0,5.999758253301428,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:35+00:00,1772703155.381763,0.0,77855.25864399827,0.0,4.001606632606818,34.8,0.0,0.0,0.0,0.0,0
2026-03-05T09:32:36+00:00,1772703156.3818386,0.0,65531.04724932241,0.0,0.9999244270221315,34.8,4645.6488879448225,4132.687656882469,8.999319843199183,7.999395416177052,0
