ts_iso_utc,ts_unix,cpu_percent,cpu_percent_max,cpu_percent_min,cpu_frequency_mhz,cpu_count,memory_used,memory_available,memory_percent,memory_total,swap_used,swap_percent,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s,label
2026-03-04T22:02:17+00:00,1772661737.2301788,1.7937500000000002,4.8,0.0,2304.0,16,15025147904,1998802944,88.3,17023950848,865411072,7.7,0.0,0.0,0.0,0.0,34.4,0.9999682913344509,0.0,0.9999682913344509,0.0,0
2026-03-04T22:02:18+00:00,1772661738.2300408,1.6500000000000001,6.2,0.0,2304.0,16,15026188288,1997762560,88.3,17023950848,865161216,7.7,0.0,81931.31015505308,0.0,4.000552253664702,34.4,1.0001380634161754,0.0,1.0001380634161754,0.0,0
2026-03-04T22:02:19+00:00,1772661739.2299924,0.29375,3.1,0.0,2304.0,16,15024730112,1999220736,88.3,17023950848,865161216,7.7,4096.198251782683,421908.4199336163,1.0000484013141315,37.00179084862286,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:20+00:00,1772661740.230202,0.48124999999999996,4.6,0.0,2304.0,16,15021883392,2002067456,88.2,17023950848,865161216,7.7,0.0,69617.41028412824,0.0,1.9995809479586468,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:21+00:00,1772661741.2299879,0.59375,3.1,0.0,2304.0,16,15026847744,1997103104,88.3,17023950848,865161216,7.7,0.0,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:22+00:00,1772661742.2300353,0.7937500000000001,1.6,0.0,2304.0,16,15011205120,2012745728,88.2,17023950848,865161216,7.7,32766.44538625911,86011.91913893017,0.9999525569537082,1.9999051139074164,34.4,0.9999525569537082,0.0,0.9999525569537082,0.0,0
2026-03-04T22:02:23+00:00,1772661743.2299974,3.075,9.1,0.0,2304.0,16,15009390592,2014560256,88.2,17023950848,865161216,7.7,0.0,4096.155279323914,0.0,1.00003790999119,34.4,1.00003790999119,0.0,1.00003790999119,0.0,0
2026-03-04T22:02:24+00:00,1772661744.230203,1.84375,7.7,0.0,2304.0,16,15006593024,2017357824,88.1,17023950848,865161216,7.7,0.0,65522.53401748584,0.0,0.9997945254132972,34.4,0.9997945254132972,0.0,0.9997945254132972,0.0,0
2026-03-04T22:02:25+00:00,1772661745.230052,0.6937500000000001,3.2,0.0,2304.0,16,15005212672,2018738176,88.1,17023950848,865161216,7.7,0.0,16386.473029477038,0.0,2.0003018834810837,34.4,1.0001509417405419,0.0,1.0001509417405419,0.0,0
2026-03-04T22:02:26+00:00,1772661746.2299922,1.54375,7.5,0.0,2304.0,16,15004995584,2018955264,88.1,17023950848,865161216,7.7,126983.59908756518,4096.245131856941,5.000299233223806,1.000059846644761,34.4,1.000059846644761,0.0,1.000059846644761,0.0,0
2026-03-04T22:02:27+00:00,1772661747.2300863,3.6875,10.4,0.0,2304.0,16,15006478336,2017472512,88.1,17023950848,865161216,7.7,0.0,12286.84288240944,0.0,1.9998116670588284,34.4,0.9999058335294142,0.0,0.9999058335294142,0.0,0
2026-03-04T22:02:28+00:00,1772661748.2302055,0.30000000000000004,1.6,0.0,2304.0,16,15003013120,2020937728,88.1,17023950848,865161216,7.7,0.0,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:29+00:00,1772661749.230275,2.3,16.9,0.0,2304.0,16,14979330048,2044620800,88.0,17023950848,865161216,7.7,0.0,499677.3324833506,0.0,39.9972250002682,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:30+00:00,1772661750.2302067,1.2750000000000001,6.2,0.0,2304.0,16,14984777728,2039173120,88.0,17023950848,865161216,7.7,0.0,147466.0553731529,0.0,15.001022885452565,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:31+00:00,1772661751.2299452,1.74375,6.2,0.0,2304.0,16,14987460608,2036490240,88.0,17023950848,865161216,7.7,0.0,69650.21667854699,0.0,2.0005232272101043,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:32+00:00,1772661752.2299159,3.78125,7.6,1.5,2304.0,16,14982639616,2041311232,88.0,17023950848,865161216,7.7,0.0,0.0,0.0,0.0,34.4,4189.122848060205,311.00912049336927,6.0001759580714324,2.000058652690478,0
2026-03-04T22:02:33+00:00,1772661753.2301424,2.0625,6.2,0.0,2304.0,16,14995279872,2028670976,88.1,17023950848,865161216,7.7,16380.289902828292,642926.3786860104,0.9997735536394221,138.96852395587968,34.4,1899.5697519149019,6161.604411079758,5.998641321836533,13.996829750951909,0
2026-03-04T22:02:34+00:00,1772661754.230365,0.19375,3.1,0.0,2304.0,16,14985043968,2038906880,88.0,17023950848,865161216,7.7,0.0,343987.39987004315,0.0,7.9982189329902145,34.4,227.9492395902211,111.97506506186299,3.9991094664951072,1.9995547332475536,0
2026-03-04T22:02:35+00:00,1772661755.2301326,2.06875,6.2,0.0,2304.0,16,14983409664,2040541184,88.0,17023950848,865161216,7.7,0.0,225332.38034029765,0.0,10.002325121639632,34.4,0.0,0.0,0.0,0.0,0
2026-03-04T22:02:36+00:00,1772661756.2299154,1.35625,6.0,0.0,2304.0,16,14983745536,2040205312,88.0,17023950848,865161216,7.7,390740.8686531408,0.0,9.001955218602216,0.0,34.4,1593.3460736925922,1507.3273904926155,8.001737972090858,8.001737972090858,0
2026-03-04T22:02:37+00:00,1772661757.2304163,1.36875,4.6,0.0,2304.0,16,14985338880,2038611968,88.0,17023950848,865161216,7.7,0.0,216979.3112800123,0.0,8.995494000221619,34.4,6472.7576828261335,0.0,35.981976000886476,0.0,0
2026-03-04T22:02:38+00:00,1772661758.2301927,1.46875,6.2,0.0,2304.0,16,14989578240,2034372608,88.0,17023950848,865161216,7.7,0.0,4096.916220525468,0.0,1.0002236866517256,34.4,1508.3373194708022,0.0,9.00201317986553,0.0,0
2026-03-04T22:02:39+00:00,1772661759.2299955,0.575,3.0,0.0,2304.0,16,14989496320,2034454528,88.0,17023950848,865161216,7.7,69645.73219979506,0.0,2.000394422098893,0.0,34.4,1649.3252010205374,0.0,9.001774899445019,0.0,0
2026-03-04T22:02:40+00:00,1772661760.230181,1.66875,6.3,0.0,2304.0,16,14985064448,2038886400,88.0,17023950848,865161216,7.7,0.0,757619.4694263425,0.0,10.997959992200391,34.4,6474.798991771794,0.0,35.99332361083764,0.0,0
2026-03-04T22:02:41+00:00,1772661761.230026,0.6875,3.1,0.0,2304.0,16,14985543680,2038407168,88.0,17023950848,865161216,7.7,0.0,4096.634864011194,0.0,1.0001549960964828,34.4,1563.242258898803,66.01022974236787,10.001549960964828,1.0001549960964828,0
2026-03-04T22:02:42+00:00,1772661762.2300382,0.6875,3.1,0.0,2304.0,16,14983704576,2040246272,88.0,17023950848,865161216,7.7,0.0,12287.850587754256,0.0,2.9999635224009413,34.4,1648.9799494797173,0.0,8.999890567202824,0.0,0
2026-03-04T22:02:43+00:00,1772661763.230171,2.41875,7.6,0.0,2304.0,16,14983827456,2040123392,88.0,17023950848,865161216,7.7,241631.9114878896,212963.7185994959,3.9994688739388504,1.9997344369694252,34.4,6475.140106906999,0.0,35.995219865449656,0.0,0
2026-03-04T22:02:44+00:00,1772661764.2303646,1.28125,6.2,0.0,2304.0,16,14977126400,2046824448,88.0,17023950848,865161216,7.7,0.0,69618.52214050815,0.0,1.9996128831717646,34.4,1562.697468198734,65.98722514466823,9.998064415858822,0.9998064415858823,0
2026-03-04T22:02:45+00:00,1772661765.230026,0.6875,4.7,0.0,2304.0,16,14980579328,2043371520,88.0,17023950848,865161216,7.7,0.0,12292.161565166125,0.0,3.001016007120636,34.4,1649.5584652473094,0.0,9.003048021361908,0.0,0
2026-03-04T22:02:46+00:00,1772661766.2302153,2.1875,4.6,0.0,2304.0,16,14993043456,2030907392,88.1,17023950848,865161216,7.7,0.0,4095.224756132038,0.0,0.9998107314775483,34.4,0.0,0.0,0.0,0.0,0
