ts_iso_utc,ts_unix,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s
2026-03-05T09:30:27+00:00,1772703027.549213,0.0,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0
2026-03-05T09:30:28+00:00,1772703028.5492659,695259.2006782172,2875239.816648651,17.99904732978172,127.99322545622556,34.4,0.0,0.0,0.0,0.0
2026-03-05T09:30:29+00:00,1772703029.549194,4096.293966408703,778295.8536176536,1.0000717691427499,113.00810991313072,34.4,984.0706208364658,282.02023889825546,6.000430614856499,2.0001435382854997
2026-03-05T09:30:30+00:00,1772703030.5492105,6820239.801040107,86973033.21689703,47.999210370656115,258.9957392916653,34.5,3907.9357110109186,5712.906017657467,8.99985194449802,11.999802592664029
2026-03-05T09:30:31+00:00,1772703031.5492373,1322972.6728183376,33492097.664506335,10.99970627615382,71.99807744391592,34.5,1977.9471831120231,1723.9539654626533,12.999652871818151,12.999652871818151
2026-03-05T09:30:32+00:00,1772703032.5494852,126944.5234297831,26207901.61131006,4.998760530721676,46.988348988783756,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:33+00:00,1772703033.5491738,65556.41260596833,4097.275787873021,1.0003114716486867,1.0003114716486867,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:34+00:00,1772703034.5490487,0.0,22022852.59504232,0.0,31.003880748127166,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:35+00:00,1772703035.5490234,10076414.654873231,29377254.432825536,40.00101092032374,95.00240093576889,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:36+00:00,1772703036.5494773,3095170.9503208613,20077669.762398813,12.994101341020274,54.975044135085774,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:37+00:00,1772703037.5489428,16392.76249635621,196713.14995627452,1.0005348203342412,4.002139281336965,34.5,228.121939036207,112.05989987743502,4.002139281336965,2.0010696406684825
2026-03-05T09:30:38+00:00,1772703038.5493186,65511.38424931123,13745107.307808612,0.999624393452625,26.989858623220872,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:39+00:00,1772703039.549061,0.0,11537306.764948402,0.0,21.005408726078073,34.5,0.0,0.0,0.0,0.0
2026-03-05T09:30:40+00:00,1772703040.5489342,0.0,10487090.16871685,0.0,17.00215653116097,34.5,0.0,0.0,0.0,0.0
