ts_unix,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s
1772970042.9364538,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970043.9365394,0.0,32765.195552539026,0.0,4.999572075277561,37.6,240.97937402837843,835.9284509864082,4.999572075277561,4.999572075277561
1772970044.9370036,0.0,0.0,0.0,0.0,37.6,903.5805570257833,196.9085948385833,6.9967521008633655,2.998608043227157
1772970045.9366102,0.0,221271.045961818,0.0,4.001574181890516,37.6,4178.643839439172,6412.522626479552,14.005509636616807,15.005903182089435
1772970046.936939,0.0,81893.0752585455,0.0,2.9990139865190004,37.6,255.91586018295473,437.8560420317741,1.9993426576793338,2.9990139865190004
1772970047.9365487,0.0,8195.198513976902,0.0,2.000780887201392,37.6,10989.289022953648,6498.536321630122,7.002733105204873,12.004685323208355
1772970048.936723,0.0,0.0,0.0,0.0,37.6,703.8773254573562,1252.7816602245273,4.9991287319414495,6.99878022471803
1772970049.9368594,0.0,430021.35565389774,0.0,19.997272863369503,37.6,0.0,0.0,0.0,0.0
1772970050.9365883,0.0,335963.07351650915,0.0,19.00515195316571,37.6,162.0439271796234,345.0935486232721,3.0008134662893227,5.001355777148871
1772970051.9366553,0.0,110584.59131666184,0.0,3.99973203546954,37.6,54.99631548770618,65.99557858524742,0.999933008867385,0.999933008867385
1772970052.9364724,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970053.9366708,0.0,196569.00773467176,0.0,45.990877053807075,37.6,0.0,0.0,0.0,0.0
1772970054.936511,0.0,135189.59524650936,0.0,3.0004792979072565,37.6,0.0,0.0,0.0,0.0
1772970055.936547,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970056.936451,0.0,135180.98855266254,0.0,5.000480459600739,37.6,0.0,0.0,0.0,0.0
1772970057.9368737,0.0,8188.538572576242,0.0,1.9991549249453715,37.6,0.0,0.0,0.0,0.0
1772970058.9364188,0.0,4097.864129247332,0.0,1.0004551096795244,37.6,0.0,0.0,0.0,0.0
1772970059.9367547,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970060.9369624,0.0,4095.1495906606997,0.0,0.9997923805323974,37.6,0.0,41.99127998236069,0.0,0.9997923805323974
1772970061.9366252,16389.525300210593,73752.86385094767,1.0003372375616817,8.002697900493454,37.6,0.0,42.014163977590634,0.0,1.0003372375616817
1772970062.9366984,0.0,24574.201303529695,0.0,3.9997072434130363,37.6,0.0,41.99692605583688,0.0,0.9999268108532591
1772970063.936417,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970064.9364796,0.0,4095.7441566064285,0.0,0.9999375382339913,37.6,0.0,0.0,0.0,0.0
1772970065.9366505,0.0,69620.09871416615,0.0,1.9996581661927317,37.6,0.0,0.0,0.0,0.0
1772970066.9363005,0.0,245846.045740878,0.0,22.007702662350734,37.6,0.0,0.0,0.0,0.0
1772970067.9368315,0.0,0.0,0.0,0.0,37.6,0.0,41.97771159083538,0.0,0.9994693235913187
1772970068.9367266,0.0,565307.3030961424,0.0,26.002727794701975,37.6,0.0,42.0044064375955,0.0,1.0001049151808452
1772970069.9366586,4096.278339225454,417820.3906009963,1.0000679539124644,42.00285406432351,37.6,1714.116473005964,1807.122792719823,14.000951354774502,16.00108726259943
1772970070.9364123,0.0,245820.54225448344,0.0,23.005665982475257,37.6,0.0,0.0,0.0,0.0
1772970071.9364748,0.0,53244.67403588357,0.0,10.999312920573905,37.6,2254.8591487176504,1226.9233594131074,14.99906307350987,15.999000611743861
1772970072.9365842,8191.103613720251,8191.103613720251,0.9998905778467103,1.9997811556934206,37.6,142.98435263207958,341.96257762357493,1.9997811556934206,3.9995623113868413
1772970073.936529,0.0,81924.5315006514,0.0,4.000221264680244,37.6,0.0,42.00232327914256,0.0,1.000055316170061
1772970074.936693,0.0,0.0,0.0,0.0,37.6,0.0,41.993111786625576,0.0,0.9998359949196566
1772970075.9368272,0.0,126958.95834218344,0.0,3.999463153420597,37.6,0.0,0.0,0.0,0.0
1772970076.9367123,0.0,131087.06423114764,0.0,5.000574654813676,37.6,0.0,0.0,0.0,0.0
1772970077.936882,0.0,4095.304805512065,0.0,0.999830274783219,37.6,0.0,0.0,0.0,0.0
1772970078.9364917,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970079.936683,0.0,4095.2169466039713,0.0,0.9998088248544852,37.6,0.0,141.9728531293369,0.0,0.9998088248544852
1772970080.9365284,0.0,98319.189846759,0.0,5.000772595558625,37.6,0.0,0.0,0.0,0.0
1772970081.93645,0.0,8192.642628532598,0.0,2.0001568917315913,37.6,0.0,0.0,0.0,0.0
1772970082.9370286,65498.100055495575,65498.100055495575,0.9994216927413265,0.9994216927413265,37.6,0.0,0.0,0.0,0.0
1772970083.9363048,0.0,4098.966991373493,0.0,1.0007243631282943,37.6,0.0,0.0,0.0,0.0
1772970084.9368796,0.0,73685.64348829977,0.0,3.9977020121690416,37.6,0.0,0.0,0.0,0.0
1772970085.9364219,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1772970086.93653,929691.3683144534,180204.4942988368,47.99480494464758,29.996753090404738,37.6,0.0,0.0,0.0,0.0
