ts_iso_utc,ts_unix,cpu_percent,cpu_percent_max,cpu_percent_min,cpu_frequency_mhz,cpu_count,memory_used,memory_available,memory_percent,memory_total,swap_used,swap_percent,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s
2026-03-04T20:04:06+00:00,1772654646.2926557,1.65625,7.8,0.0,2304.0,16,14069334016,2954616832,82.6,17023950848,298192896,2.6,0.0,8193.785545346367,0.0,2.000435924156828,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:07+00:00,1772654647.292861,2.6375,6.2,0.0,2304.0,16,14065229824,2958721024,82.6,17023950848,298192896,2.6,0.0,131045.09927213828,0.0,1.9995895274679303,34.3,54.988712005368086,65.9864544064417,0.9997947637339651,0.9997947637339651
2026-03-04T20:04:08+00:00,1772654648.2926936,2.74375,9.4,0.0,2304.0,16,14063398912,2960551936,82.6,17023950848,298192896,2.6,0.0,208930.96874333808,0.0,28.004687140076715,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:09+00:00,1772654649.2926874,1.8687500000000001,4.7,0.0,2304.0,16,14068789248,2955161600,82.6,17023950848,298192896,2.6,0.0,155648.96484973098,0.0,7.000043392450381,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:10+00:00,1772654650.2927015,3.48125,7.7,1.5,2304.0,16,14059765760,2964185088,82.6,17023950848,298192896,2.6,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:11+00:00,1772654651.2926893,3.59375,9.2,1.5,2304.0,16,14065762304,2958188544,82.6,17023950848,298192896,2.6,0.0,73728.8964952758,0.0,3.000036478486157,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:12+00:00,1772654652.2929544,2.73125,7.8,0.0,2304.0,16,14059220992,2964729856,82.6,17023950848,298192896,2.6,0.0,155606.745312503,0.0,3.998939795243189,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:13+00:00,1772654653.2927966,1.4625000000000001,7.7,0.0,2304.0,16,14060908544,2963042304,82.6,17023950848,298192896,2.6,0.0,12289.93975928322,0.0,2.00031571602917,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:14+00:00,1772654654.2931867,0.59375,3.2,0.0,2304.0,16,14080716800,2943234048,82.7,17023950848,298192896,2.6,0.0,45038.43263345043,0.0,2.9988302978593593,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:15+00:00,1772654655.2931142,1.61875,4.6,0.0,2304.0,16,14060740608,2963210240,82.6,17023950848,298192896,2.6,0.0,16385.187586075346,0.0,4.000289938006676,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:16+00:00,1772654656.2930956,2.88125,7.9,0.0,2304.0,16,14061932544,2962018304,82.6,17023950848,298192896,2.6,0.0,8192.152346583136,0.0,2.0000371939900234,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:17+00:00,1772654657.29269,3.6125,9.4,1.5,2304.0,16,14064152576,2959798272,82.6,17023950848,298192896,2.6,0.0,77855.57432840648,0.0,3.001217143621755,34.3,1862.7554404745692,1990.807371935764,19.007708576271114,16.00649143264936
2026-03-04T20:04:18+00:00,1772654658.2927575,1.26875,6.2,0.0,2304.0,16,14063550464,2960400384,82.6,17023950848,298192896,2.6,0.0,65531.57842333464,0.0,0.9999325320943396,34.3,377.9744971316604,913.9383343342265,6.9995277246603775,9.999325320943397
2026-03-04T20:04:19+00:00,1772654659.2927022,1.5625,6.2,0.0,2304.0,16,14063861760,2960089088,82.6,17023950848,298192896,2.6,0.0,94213.21122574911,0.0,5.000276580850305,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:20+00:00,1772654660.2927785,0.9875,4.8,0.0,2304.0,16,14061961216,2961989632,82.6,17023950848,298192896,2.6,0.0,8191.375047680078,0.0,1.999847423750019,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:21+00:00,1772654661.2926815,5.0375,13.8,1.6,2304.0,16,14051450880,2972499968,82.5,17023950848,298192896,2.6,0.0,12289.192498528218,0.0,2.000194091557327,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:22+00:00,1772654662.2930584,1.925,10.6,0.0,2304.0,16,14059491328,2964459520,82.6,17023950848,298192896,2.6,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:23+00:00,1772654663.292936,2.24375,7.7,0.0,2304.0,16,14058733568,2965217280,82.6,17023950848,298192896,2.6,0.0,225307.55708140915,0.0,5.000611618461673,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:24+00:00,1772654664.2926614,3.7125,6.2,1.5,2304.0,16,14058573824,2965377024,82.6,17023950848,298192896,2.6,0.0,110622.38334503495,0.0,19.005219939558593,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:25+00:00,1772654665.293123,2.43125,7.8,0.0,2304.0,16,14053117952,2970832896,82.5,17023950848,298192896,2.6,0.0,65505.76395630374,0.0,0.9995386345871542,34.3,227.89480868587117,111.94832707376128,3.998154538348617,1.9990772691743084
2026-03-04T20:04:26+00:00,1772654666.292783,1.26875,4.7,0.0,2304.0,16,14056689664,2967261184,82.6,17023950848,298192896,2.6,0.0,135213.9707074711,0.0,10.00340100522839,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:27+00:00,1772654667.2930355,1.8375,9.2,0.0,2304.0,16,14061527040,2962423808,82.6,17023950848,298192896,2.6,0.0,8189.932162723464,0.0,1.9994951569149082,34.3,54.986116815159974,0.0,0.9997475784574541,0.0
2026-03-04T20:04:28+00:00,1772654668.2928617,0.8625,4.7,0.0,2304.0,16,14056386560,2967564288,82.6,17023950848,298192896,2.6,0.0,430154.7639710748,0.0,45.00782268112529,34.3,141.0245110675259,120.02086048300077,2.0003476747166795,2.0003476747166795
2026-03-04T20:04:29+00:00,1772654669.293055,3.30625,7.8,0.0,2304.0,16,14055010304,2968940544,82.6,17023950848,298192896,2.6,0.0,126951.45298853547,0.0,5.998840079473387,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:30+00:00,1772654670.292731,4.7125,10.9,0.0,2304.0,16,14055448576,2968502272,82.6,17023950848,298192896,2.6,0.0,208963.70650795562,0.0,17.00550996972295,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:31+00:00,1772654671.292953,1.4625000000000001,3.1,0.0,2304.0,16,14056738816,2967212032,82.6,17023950848,298192896,2.6,49141.09226491484,241610.37030249796,2.9993342446847437,22.994895875916367,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:32+00:00,1772654672.2930906,3.1875,13.4,0.0,2304.0,16,14060711936,2963238912,82.6,17023950848,298192896,2.6,0.0,73717.8588169724,0.0,2.9995873542062337,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:33+00:00,1772654673.2933571,1.44375,6.2,0.0,2304.0,16,14058946560,2965004288,82.6,17023950848,298192896,2.6,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:34+00:00,1772654674.2931175,4.85625,9.7,0.0,2304.0,16,14061531136,2962419712,82.6,17023950848,298192896,2.6,0.0,147491.34049921075,0.0,11.002636349089345,34.3,55.01318174544672,66.01581809453607,1.0002396680990313,1.0002396680990313
2026-03-04T20:04:35+00:00,1772654675.2925844,1.8687500000000001,6.2,0.0,2304.0,16,14059786240,2964164608,82.6,17023950848,298192896,2.6,0.0,16392.739033813385,0.0,3.0016001648828214,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:36+00:00,1772654676.292652,2.13125,7.5,0.0,2304.0,16,14064664576,2959286272,82.6,17023950848,298192896,2.6,0.0,81914.47302916831,0.0,4.9996626604716985,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:37+00:00,1772654677.2928815,4.85,9.2,1.6,2304.0,16,14056648704,2967302144,82.6,17023950848,298192896,2.6,0.0,20475.29893091429,0.0,3.999081822444197,34.3,0.0,0.0,0.0,0.0
2026-03-04T20:04:38+00:00,1772654678.2928112,3.125,12.5,0.0,2304.0,16,14081556480,2942394368,82.7,17023950848,298192896,2.6,0.0,49155.45727441215,0.0,10.000703384279815,34.3,55.00386861353898,66.00464233624677,1.0000703384279814,1.0000703384279814
2026-03-04T20:04:39+00:00,1772654679.2927318,1.75625,7.7,0.0,2304.0,16,14055047168,2968903680,82.6,17023950848,298192896,2.6,0.0,49155.90265359489,0.0,7.000555797834558,34.3,0.0,0.0,0.0,0.0
